,基金代码,基金简称,基金名称,基金类型,基金拼音
96,000126,ZSARHH,招商安润混合,混合型,ZHAOSHANGANRUNHUNHE
97,000127,NYHYLXHH,农银行业领先混合,混合型,NONGYINHANGYELINGXIANHUNHE
98,000128,DCJADRZQA,大成景安短融债券A,债券型,DACHENGJINGANDUANRONGZHAIQUANA
99,000129,DCJADRZQB,大成景安短融债券B,债券型,DACHENGJINGANDUANRONGZHAIQUANB
100,000130,DCJXXYZZQA,大成景兴信用债债券A,债券型,DACHENGJINGXINGXINYONGZHAIZHAIQUANA
101,000131,DCJXXYZZQC,大成景兴信用债债券C,债券型,DACHENGJINGXINGXINYONGZHAIZHAIQUANC
102,000134,ZXBCJHZQA,中信保诚嘉鸿债券A,债券型,ZHONGXINBAOCHENGJIAHONGZHAIQUANA
103,000135,ZXBCJHZQC,中信保诚嘉鸿债券C,债券型,ZHONGXINBAOCHENGJIAHONGZHAIQUANC
104,000136,MSJYCLJXHHA,民生加银策略精选混合A,混合型,MINSHENGJIAYINCELUEJINGXUANHUNHEA
105,000137,MSJYSSZLZQA,民生加银岁岁增利债券A,定开债券,MINSHENGJIAYINSUISUIZENGLIZHAIQUANA
106,000138,MSJYSSZLZQC,民生加银岁岁增利债券C,定开债券,MINSHENGJIAYINSUISUIZENGLIZHAIQUANC
107,000139,FGGYQYZZQAB,富国国有企业债债券A/B,债券型,FUGUOGUOYOUQIYEZHAIZHAIQUANAB
108,000140,FGGYQYZZQAB,富国国有企业债债券A/B(后端),债券型,FUGUOGUOYOUQIYEZHAIZHAIQUANAB
109,000141,FGGYQYZZQC,富国国有企业债债券C,债券型,FUGUOGUOYOUQIYEZHAIZHAIQUANC
110,000142,RTZQSYZQA,融通增强收益债券A,债券型,RONGTONGZENGQIANGSHOUYIZHAIQUANA
111,000143,PHSZJLZQ,鹏华双债加利债券,债券型,PENGHUASHUANGZHAIJIALIZHAIQUAN
112,000147,YFDGDJXYZZQA,易方达高等级信用债债券A,债券型,YIFANGDAGAODENGJIXINYONGZHAIZHAIQUANA
113,000148,YFDGDJXYZZQC,易方达高等级信用债债券C,债券型,YIFANGDAGAODENGJIXINYONGZHAIZHAIQUANC
114,000149,HASZTLZQA,华安双债添利债券A,债券型,HUAANSHUANGZHAITIANLIZHAIQUANA
115,000150,HASZTLZQC,华安双债添利债券C,债券型,HUAANSHUANGZHAITIANLIZHAIQUANC
116,000152,DCJXCZZQA,大成景旭纯债债券A,债券型,DACHENGJINGXUCHUNZHAIZHAIQUANA
117,000153,DCJXCZZQC,大成景旭纯债债券C,债券型,DACHENGJINGXUCHUNZHAIZHAIQUANC
118,000154,FGHS300ZSZQ,富国沪深300指数增强(后端),股票指数,FUGUOHUSHEN300ZHISHUZENGQIANG
119,000155,FGTZTSZTLDHH,富国通胀通缩主题轮动混合(后端),混合型,FUGUOTONGZHANGTONGSUOZHUTILUNDONGHUNHE
120,000157,FGQQKJHLWQDII,富国全球科技互联网(QDII)(后端),QDII,FUGUOQUANQIUKEJIHULIANWANGQDII
121,000158,FGDTHBHH,富国低碳环保混合(后端),混合型,FUGUODITANHUANBAOHUNHE
122,000159,FGGXJSCYHH,富国高新技术产业混合(后端),混合型,FUGUOGAOXINJISHUCHANYEHUNHE
123,000160,FGQHBDKZAB,富国强回报定开债A/B(后端),定开债券,FUGUOQIANGHUIBAODINGKAIZHAIAB
124,000161,FGHGCLLHPZHH,富国宏观策略灵活配置混合(后端),混合型,FUGUOHONGGUANCELUELINGHUOPEIZHIHUNHE
125,000162,FGZGZXPHHQDIIRMB,富国中国中小盘混合(QDII)人民币(后端),QDII,FUGUOZHONGGUOZHONGXIAOPANHUNHEQDIIRENMINBI
126,000164,FGSZZSETFLJ,富国上证指数ETF联接(后端),联接基金,FUGUOSHANGZHENGZHISHUETFLIANJIE
127,000165,GTRYCLJXHH,国投瑞银策略精选混合,混合型,GUOTOURUIYINCELUEJINGXUANHUNHE
128,000166,ZHXXCYJXHH,中海信息产业精选混合,混合型,ZHONGHAIXINXICHANYEJINGXUANHUNHE
129,000167,GFJYLHPZHHA,广发聚优灵活配置混合A,混合型,GUANGFAJUYOULINGHUOPEIZHIHUNHEA
130,000171,YFDYFHBZQ,易方达裕丰回报债券,债券型,YIFANGDAYUFENGHUIBAOZHAIQUAN
131,000172,HTBRLHZQHHA,华泰柏瑞量化增强混合A,混合型,HUATAIBAIRUILIANGHUAZENGQIANGHUNHEA
132,000173,HTFML30HH,汇添富美丽30混合,混合型,HUITIANFUMEILI30HUNHE
133,000174,HTFGXZZQA,汇添富高息债债券A,债券型,HUITIANFUGAOXIZHAIZHAIQUANA
134,000175,HTFGXZZQC,汇添富高息债债券C,债券型,HUITIANFUGAOXIZHAIZHAIQUANC
135,000176,JSHS300ZSYJZQ,嘉实沪深300指数研究增强,股票指数,JIASHIHUSHEN300ZHISHUYANJIUZENGQIANG
136,000179,GFMGFDCZS,广发美国房地产指数,QDII-指数,GUANGFAMEIGUOFANGDICHANZHISHU
137,000180,GFMGFDCZSXH,广发美国房地产指数现汇,QDII-指数,GUANGFAMEIGUOFANGDICHANZHISHUXIANHUI
138,000181,JSCCSJJLZQA,景顺长城四季金利债券A,债券型,JINGSHUNCHANGCHENGSIJIJINLIZHAIQUANA
139,000182,JSCCSJJLZQC,景顺长城四季金利债券C,债券型,JINGSHUNCHANGCHENGSIJIJINLIZHAIQUANC
140,000183,JSFYCLDQZQ,嘉实丰益策略定期债券,定开债券,JIASHIFENGYICELUEDINGQIZHAIQUAN
141,000184,GYTFZQA,工银添福债券A,债券型,GONGYINTIANFUZHAIQUANA
142,000185,GYTFZQB,工银添福债券B,债券型,GONGYINTIANFUZHAIQUANB
143,000186,HTBRJJHZQ,华泰柏瑞季季红债券,债券型,HUATAIBAIRUIJIJIHONGZHAIQUAN
