,基金代码,基金简称,基金名称,基金类型,基金拼音
9337,011283,HXXFLTHHC,华夏消费龙头混合C,混合型,HUAXIAXIAOFEILONGTOUHUNHEC
9338,011284,ZXBCLTJXHH,中信保诚龙腾精选混合,混合型,ZHONGXINBAOCHENGLONGTENGJINGXUANHUNHE
9339,011287,QHKYJHSNCYHH,前海开源聚慧三年持有混合,混合型,QIANHAIKAIYUANJUHUISANNIANCHIYOUHUNHE
9340,011288,SYYLJKHHA,上银医疗健康混合A,混合型,SHANGYINYILIAOJIANKANGHUNHEA
9341,011289,SYYLJKHHC,上银医疗健康混合C,混合型,SHANGYINYILIAOJIANKANGHUNHEC
9342,011290,QHLHTRYNCYHHA,前海联合添瑞一年持有混合A,混合型,QIANHAILIANHETIANRUIYINIANCHIYOUHUNHEA
9343,011291,QHLHTRYNCYHHC,前海联合添瑞一年持有混合C,混合型,QIANHAILIANHETIANRUIYINIANCHIYOUHUNHEC
9344,011292,ZSTYCZD,招商添裕纯债D,债券型,ZHAOSHANGTIANYUCHUNZHAID
9345,011293,ZJHYYNCYQHH,中金恒远一年持有期混合,混合型,ZHONGJINHENGYUANYINIANCHIYOUQIHUNHE
9346,011298,YFDYAYNCYZQA,易方达悦安一年持有债券A,债券型,YIFANGDAYUEANYINIANCHIYOUZHAIQUANA
9347,011299,YFDYAYNCYZQC,易方达悦安一年持有债券C,债券型,YIFANGDAYUEANYINIANCHIYOUZHAIQUANC
9348,011300,YFDZZYSHHA,易方达智造优势混合A,混合型,YIFANGDAZHIZAOYOUSHIHUNHEA
9349,011301,YFDZZYSHHC,易方达智造优势混合C,混合型,YIFANGDAZHIZAOYOUSHIHUNHEC
9350,011302,YFDYYYNCYHHA,易方达悦盈一年持有混合A,混合型,YIFANGDAYUEYINGYINIANCHIYOUHUNHEA
9351,011303,YFDYYYNCYHHC,易方达悦盈一年持有混合C,混合型,YIFANGDAYUEYINGYINIANCHIYOUHUNHEC
9352,011304,GYCXCZHHA,工银创新成长混合A,混合型,GONGYINCHUANGXINCHENGZHANGHUNHEA
9353,011305,GYCXCZHHC,工银创新成长混合C,混合型,GONGYINCHUANGXINCHENGZHANGHUNHEC
9354,011306,FGDTXJJHHC,富国低碳新经济混合C,混合型,FUGUODITANXINJINGJIHUNHEC
9355,011307,FGTYJZHHC,富国天益价值混合C,混合型,FUGUOTIANYIJIAZHIHUNHEC
9356,011308,FGSWYYKJHHC,富国生物医药科技混合C,混合型,FUGUOSHENGWUYIYAOKEJIHUNHEC
9357,011309,FGXFZTHHC,富国消费主题混合C,混合型,FUGUOXIAOFEIZHUTIHUNHEC
9358,011312,DFHQRSNCYHHB,东方红启瑞三年持有混合B,混合型,DONGFANGHONGQIRUISANNIANCHIYOUHUNHEB
9359,011319,GTSZZHETFLJA,国泰上证综合ETF联接A,联接基金,GUOTAISHANGZHENGZONGHEETFLIANJIEA
9360,011320,GTSZZHETFLJC,国泰上证综合ETF联接C,联接基金,GUOTAISHANGZHENGZONGHEETFLIANJIEC
9361,011321,GTDJKGPC,国泰大健康股票C,股票型,GUOTAIDAJIANKANGGUPIAOC
9362,011322,GTZNZBGPC,国泰智能装备股票C,股票型,GUOTAIZHINENGZHUANGBEIGUPIAOC
9363,011323,GTZNQCGPC,国泰智能汽车股票C,股票型,GUOTAIZHINENGQICHEGUPIAOC
9364,011324,GTJZJXLHPZHHC,国泰价值精选灵活配置混合C,混合型,GUOTAIJIAZHIJINGXUANLINGHUOPEIZHIHUNHEC
9365,011325,GTJYYSJXHHC,国泰江源优势精选混合C,混合型,GUOTAIJIANGYUANYOUSHIJINGXUANHUNHEC
9366,011326,GTYYJKGPC,国泰医药健康股票C,股票型,GUOTAIYIYAOJIANKANGGUPIAOC
9367,011327,TPFYYNDKZQFQS,太平丰盈一年定开债券发起式,定开债券,TAIPINGFENGYINGYINIANDINGKAIZHAIQUANFAQISHI
9368,011328,JSCCXNYCYGPA,景顺长城新能源产业股票A,股票型,JINGSHUNCHANGCHENGXINNENGYUANCHANYEGUPIAOA
9369,011329,JSCCXNYCYGPC,景顺长城新能源产业股票C,股票型,JINGSHUNCHANGCHENGXINNENGYUANCHANYEGUPIAOC
9370,011333,PHPZYXHHA,鹏华品质优选混合A,混合型,PENGHUAPINZHIYOUXUANHUNHEA
9371,011334,PHPZYXHHC,鹏华品质优选混合C,混合型,PENGHUAPINZHIYOUXUANHUNHEC
9372,011336,XQHJYNCYHHA,兴全汇吉一年持有混合A,混合型,XINGQUANHUIJIYINIANCHIYOUHUNHEA
9373,011337,XQHJYNCYHHC,兴全汇吉一年持有混合C,混合型,XINGQUANHUIJIYINIANCHIYOUHUNHEC
9374,011338,XQHYLNCYHHA,兴全合远两年持有混合A,混合型,XINGQUANHEYUANLIANGNIANCHIYOUHUNHEA
9375,011339,XQHYLNCYHHC,兴全合远两年持有混合C,混合型,XINGQUANHEYUANLIANGNIANCHIYOUHUNHEC
9376,011340,BSZLXCLZTHHA,博时战略新材料主题混合A,混合型,BOSHIZHANLUEXINCAILIAOZHUTIHUNHEA
9377,011341,BSZLXCLZTHHC,博时战略新材料主题混合C,混合型,BOSHIZHANLUEXINCAILIAOZHUTIHUNHEC
9378,011347,YFDNYYNCYHHA,易方达宁易一年持有混合A,混合型,YIFANGDANINGYIYINIANCHIYOUHUNHEA
9379,011348,YFDNYYNCYHHC,易方达宁易一年持有混合C,混合型,YIFANGDANINGYIYINIANCHIYOUHUNHEC
9380,011351,JYNNYYYNCYHHA,金鹰年年邮益一年持有混合A,混合型,JINYINGNIANNIANYOUYIYINIANCHIYOUHUNHEA
9381,011352,JYNNYYYNCYHHC,金鹰年年邮益一年持有混合C,混合型,JINYINGNIANNIANYOUYIYINIANCHIYOUHUNHEC
9382,011357,HTBRPZCZHHA,华泰柏瑞品质成长混合A,混合型,HUATAIBAIRUIPINZHICHENGZHANGHUNHEA
9383,011358,HTBRPZCZHHC,华泰柏瑞品质成长混合C,混合型,HUATAIBAIRUIPINZHICHENGZHANGHUNHEC
9384,011363,NFXRJZYNCYHHA,南方兴润价值一年持有混合A,混合型,NANFANGXINGRUNJIAZHIYINIANCHIYOUHUNHEA
9385,011364,NFXRJZYNCYHHC,南方兴润价值一年持有混合C,混合型,NANFANGXINGRUNJIAZHIYINIANCHIYOUHUNHEC
9386,011367,CJQLYNDKHHMOMA,创金群力一年定开混合(MOM)A,混合型,CHUANGJINQUNLIYINIANDINGKAIHUNHEMOMA
9387,011368,CJQLYNDKHHMOMC,创金群力一年定开混合(MOM)C,混合型,CHUANGJINQUNLIYINIANDINGKAIHUNHEMOMC
9388,011369,HSJHCZHHA,华商均衡成长混合A,混合型,HUASHANGJUNHENGCHENGZHANGHUNHEA
9389,011370,HSJHCZHHC,华商均衡成长混合C,混合型,HUASHANGJUNHENGCHENGZHANGHUNHEC
9390,011377,CJHXJJCZGPA,创金合信积极成长股票A,股票型,CHUANGJINHEXINJIJICHENGZHANGGUPIAOA
9391,011378,CJHXJJCZGPC,创金合信积极成长股票C,股票型,CHUANGJINHEXINJIJICHENGZHANGGUPIAOC
9392,011381,HTBXAXCZ,华泰保兴安鑫纯债,债券型,HUATAIBAOXINGANXINCHUNZHAI
9393,011382,HTBXZYSGYDKZ,华泰保兴尊裕三个月定开债,定开债券,HUATAIBAOXINGZUNYUSANGEYUEDINGKAIZHAI
9394,011383,FADYYCXHH,富安达医药创新混合,混合型,FUANDAYIYAOCHUANGXINHUNHE
9395,011384,NFYJHBGPA,南方远见回报股票A,股票型,NANFANGYUANJIANHUIBAOGUPIAOA
9396,011385,NFYJHBGPC,南方远见回报股票C,股票型,NANFANGYUANJIANHUIBAOGUPIAOC
9397,011386,PHHLYXHH,鹏华红利优选混合,混合型,PENGHUAHONGLIYOUXUANHUNHE
9398,011389,GDJCHH,国都聚成混合,混合型,GUODUJUCHENGHUNHE
9399,011391,MSJYXZLHHC,民生加银新战略混合C,混合型,MINSHENGJIAYINXINZHANLUEHUNHEC
9400,011392,PAXXHBYNDKHH,平安兴鑫回报一年定开混合,混合型,PINGANXINGXINHUIBAOYINIANDINGKAIHUNHE
9401,011393,ZORYWJYNHHA,中欧融益稳健一年混合A,混合型,ZHONGOURONGYIWENJIANYINIANHUNHEA
9402,011394,ZORYWJYNHHC,中欧融益稳健一年混合C,混合型,ZHONGOURONGYIWENJIANYINIANHUNHEC
9403,011395,BSHY6GYCYQHHA,博时恒元6个月持有期混合A,混合型,BOSHIHENGYUAN6GEYUECHIYOUQIHUNHEA
9404,011396,BSHY6GYCYQHHC,博时恒元6个月持有期混合C,混合型,BOSHIHENGYUAN6GEYUECHIYOUQIHUNHEC
9405,011397,ZSRH1NCYQHHA,招商瑞和1年持有期混合A,混合型,ZHAOSHANGRUIHE1NIANCHIYOUQIHUNHEA
9406,011398,ZSRH1NCYQHHC,招商瑞和1年持有期混合C,混合型,ZHAOSHANGRUIHE1NIANCHIYOUQIHUNHEC
9407,011399,HTFSZWLHHA,汇添富数字未来混合A,混合型,HUITIANFUSHUZIWEILAIHUNHEA
9408,011400,HTFSZWLHHC,汇添富数字未来混合C,混合型,HUITIANFUSHUZIWEILAIHUNHEC
9409,011401,HTFCZJXHHA,汇添富成长精选混合A,混合型,HUITIANFUCHENGZHANGJINGXUANHUNHEA
9410,011402,HTFCZJXHHC,汇添富成长精选混合C,混合型,HUITIANFUCHENGZHANGJINGXUANHUNHEC
9411,011405,YHWJZZYNCYQHH,银华稳健增长一年持有期混合,混合型,YINHUAWENJIANZENGZHANGYINIANCHIYOUQIHUNHE
9412,011406,JTJYZDQLLZA,九泰锦元中短期利率债A,债券型,JIUTAIJINYUANZHONGDUANQILILVZHAIA
9413,011407,JTJYZDQLLZC,九泰锦元中短期利率债C,债券型,JIUTAIJINYUANZHONGDUANQILILVZHAIC
9414,011408,THYXHHA,天弘益新混合A,混合型,TIANHONGYIXINHUNHEA
9415,011409,THYXHHC,天弘益新混合C,混合型,TIANHONGYIXINHUNHEC
9416,011410,ZXJTLHJQA,中信建投量化进取A,混合型,ZHONGXINJIANTOULIANGHUAJINQUA
9417,011411,ZXJTLHJQC,中信建投量化进取C,混合型,ZHONGXINJIANTOULIANGHUAJINQUC
9418,011412,YFDYJCZHHC,易方达远见成长混合C,混合型,YIFANGDAYUANJIANCHENGZHANGHUNHEC
9419,011413,FGAYHBB,富国安益货币B,货币型,FUGUOANYIHUOBIB
9420,011414,PHNHYNCYQHHA,鹏华宁华一年持有期混合A,混合型,PENGHUANINGHUAYINIANCHIYOUQIHUNHEA
9421,011415,PHNHYNCYQHHC,鹏华宁华一年持有期混合C,混合型,PENGHUANINGHUAYINIANCHIYOUQIHUNHEC
9422,011416,HYJXZQA,恒越嘉鑫债券A,债券型,HENGYUEJIAXINZHAIQUANA
9423,011417,HYJXZQC,恒越嘉鑫债券C,债券型,HENGYUEJIAXINZHAIQUANC
9424,011420,GFQQKJSGYDKHHQDIIRMBA,广发全球科技三个月定开混合(QDII)人民币A,QDII,GUANGFAQUANQIUKEJISANGEYUEDINGKAIHUNHEQDIIRENMINBIA
9425,011421,GFQQKJSGYDKHHQDIIMYA,广发全球科技三个月定开混合(QDII)美元A,QDII,GUANGFAQUANQIUKEJISANGEYUEDINGKAIHUNHEQDIIMEIYUANA
9426,011422,GFQQKJSGYDKHHQDIIRMBC,广发全球科技三个月定开混合(QDII)人民币C,QDII,GUANGFAQUANQIUKEJISANGEYUEDINGKAIHUNHEQDIIRENMINBIC
9427,011423,GFQQKJSGYDKHHQDIIMYC,广发全球科技三个月定开混合(QDII)美元C,QDII,GUANGFAQUANQIUKEJISANGEYUEDINGKAIHUNHEQDIIMEIYUANC
9428,011424,HTFWYZZGPC,汇添富外延增长股票C,股票型,HUITIANFUWAIYANZENGZHANGGUPIAOC
9429,011425,GFYSCZGPA,广发优势成长股票A,股票型,GUANGFAYOUSHICHENGZHANGGUPIAOA
9430,011426,GFYSCZGPC,广发优势成长股票C,股票型,GUANGFAYOUSHICHENGZHANGGUPIAOC
9431,011429,QHKYMYJQ,前海开源民裕进取,混合型,QIANHAIKAIYUANMINYUJINQU
9432,011430,GFGZYSHHC,广发估值优势混合C,混合型,GUANGFAGUZHIYOUSHIHUNHEC
9433,011431,TDHLXFFWHHA,泰达宏利消费服务混合A,混合型,TAIDAHONGLIXIAOFEIFUWUHUNHEA
9434,011432,TDHLXFFWHHC,泰达宏利消费服务混合C,混合型,TAIDAHONGLIXIAOFEIFUWUHUNHEC
9435,011435,ZOYJJXHHA,中欧研究精选混合A,混合型,ZHONGOUYANJIUJINGXUANHUNHEA
9436,011436,ZOYJJXHHC,中欧研究精选混合C,混合型,ZHONGOUYANJIUJINGXUANHUNHEC
9437,011437,ZTKYJZYXHHC,中泰开阳价值优选混合C,混合型,ZHONGTAIKAIYANGJIAZHIYOUXUANHUNHEC
9438,011438,HTHTSCYXHHXA,红塔红土盛昌优选混合型A,混合型,HONGTAHONGTUSHENGCHANGYOUXUANHUNHEXINGA
9439,011439,HTHTSCYXHHXC,红塔红土盛昌优选混合型C,混合型,HONGTAHONGTUSHENGCHANGYOUXUANHUNHEXINGC
9440,011442,CJHXXRHHA,创金合信鑫瑞混合A,混合型,CHUANGJINHEXINXINRUIHUNHEA
9441,011443,CJHXXRHHC,创金合信鑫瑞混合C,混合型,CHUANGJINHEXINXINRUIHUNHEC
9442,011444,CJHXRYHHA,创金合信瑞裕混合A,混合型,CHUANGJINHEXINRUIYUHUNHEA
9443,011445,CJHXRYHHC,创金合信瑞裕混合C,混合型,CHUANGJINHEXINRUIYUHUNHEC
9444,011448,ZYZQJHCZHHA,中银证券均衡成长混合A,混合型,ZHONGYINZHENGQUANJUNHENGCHENGZHANGHUNHEA
9445,011449,ZYZQJHCZHHC,中银证券均衡成长混合C,混合型,ZHONGYINZHENGQUANJUNHENGCHENGZHANGHUNHEC
9446,011452,HTBRZLCZC,华泰柏瑞质量成长C,混合型,HUATAIBAIRUIZHILIANGCHENGZHANGC
9447,011453,HTBRYLJKC,华泰柏瑞医疗健康C,混合型,HUATAIBAIRUIYILIAOJIANKANGC
9448,011454,HTBRJQYXC,华泰柏瑞景气优选C,混合型,HUATAIBAIRUIJINGQIYOUXUANC
9449,011457,XHHYLTZTGP,新华行业龙头主题股票,股票型,XINHUAHANGYELONGTOUZHUTIGUPIAO
9450,011460,PHCXCZHHA,鹏华创新成长混合A,混合型,PENGHUACHUANGXINCHENGZHANGHUNHEA
9451,011461,PHCXCZHHC,鹏华创新成长混合C,混合型,PENGHUACHUANGXINCHENGZHANGHUNHEC
9452,011462,DWXXCZHHC,东吴兴享成长混合C,混合型,DONGWUXINGXIANGCHENGZHANGHUNHEC
9453,011463,CCLHJXGPC,长城量化精选股票C,股票型,CHANGCHENGLIANGHUAJINGXUANGUPIAOC
9454,011466,XYYLBJHHA,兴业医疗保健混合A,混合型,XINGYEYILIAOBAOJIANHUNHEA
9455,011467,XYYLBJHHC,兴业医疗保健混合C,混合型,XINGYEYILIAOBAOJIANHUNHEC
9456,011470,DWXCYJXGPC,东吴新产业精选股票C,股票型,DONGWUXINCHANYEJINGXUANGUPIAOC
9457,011471,PHZYCZHHA,鹏华致远成长混合A,混合型,PENGHUAZHIYUANCHENGZHANGHUNHEA
9458,011472,PHZYCZHHC,鹏华致远成长混合C,混合型,PENGHUAZHIYUANCHENGZHANGHUNHEC
9459,011473,GYZLZXGPC,工银战略转型股票C,股票型,GONGYINZHANLUEZHUANXINGGUPIAOC
9460,011474,GYXXCYHHC,工银信息产业混合C,混合型,GONGYINXINXICHANYEHUNHEC
9461,011475,GYXFFWHHC,工银消费服务混合C,混合型,GONGYINXIAOFEIFUWUHUNHEC
9462,011476,GYXLCGPC,工银新蓝筹股票C,股票型,GONGYINXINLANCHOUGUPIAOC
9463,011477,GYZHBLHPZHHC,工银总回报灵活配置混合C,混合型,GONGYINZONGHUIBAOLINGHUOPEIZHIHUNHEC
9464,011478,GYMLCZGPC,工银美丽城镇股票C,股票型,GONGYINMEILICHENGZHENGUPIAOC
9465,011479,GFCXHHA,广发诚享混合A,混合型,GUANGFACHENGXIANGHUNHEA
9466,011480,GFCXHHC,广发诚享混合C,混合型,GUANGFACHENGXIANGHUNHEC
9467,011482,ZYSNHB6GYCYHHA,中银顺宁回报6个月持有混合A,混合型,ZHONGYINSHUNNINGHUIBAO6GEYUECHIYOUHUNHEA
9468,011483,ZYSNHB6GYCYHHC,中银顺宁回报6个月持有混合C,混合型,ZHONGYINSHUNNINGHUIBAO6GEYUECHIYOUHUNHEC
9469,011484,SWLXYXHHA,申万菱信宜选混合A,混合型,SHENWANLINGXINYIXUANHUNHEA
9470,011485,SWLXYXHHC,申万菱信宜选混合C,混合型,SHENWANLINGXINYIXUANHUNHEC
9471,011486,BSCXJXHHA,博时创新精选混合A,混合型,BOSHICHUANGXINJINGXUANHUNHEA
9472,011487,BSCXJXHHC,博时创新精选混合C,混合型,BOSHICHUANGXINJINGXUANHUNHEC
9473,011488,SWLXLXHH,申万菱信乐享混合,混合型,SHENWANLINGXINLEXIANGHUNHE
9474,011492,HTZJFRZQFQA,华泰紫金丰睿债券发起A,债券型,HUATAIZIJINFENGRUIZHAIQUANFAQIA
9475,011493,HTZJFRZQFQC,华泰紫金丰睿债券发起C,债券型,HUATAIZIJINFENGRUIZHAIQUANFAQIC
9476,011501,FZFBHFYNDKHHA,方正富邦汇福一年定开混合A,混合型,FANGZHENGFUBANGHUIFUYINIANDINGKAIHUNHEA
9477,011502,FZFBHFYNDKHHC,方正富邦汇福一年定开混合C,混合型,FANGZHENGFUBANGHUIFUYINIANDINGKAIHUNHEC
9478,011503,JXZNSHHH,建信智能生活混合,混合型,JIANXINZHINENGSHENGHUOHUNHE
9479,011504,SYFYHHA,上银丰益混合A,混合型,SHANGYINFENGYIHUNHEA
9480,011505,SYFYHHC,上银丰益混合C,混合型,SHANGYINFENGYIHUNHEC
9481,011508,YFDYHYNCYQHHA,易方达悦弘一年持有期混合A,混合型,YIFANGDAYUEHONGYINIANCHIYOUQIHUNHEA
9482,011509,YFDYHYNCYQHHC,易方达悦弘一年持有期混合C,混合型,YIFANGDAYUEHONGYINIANCHIYOUQIHUNHEC
9483,011510,GSABWXYNCYHHA,国寿安保稳鑫一年持有混合A,混合型,GUOSHOUANBAOWENXINYINIANCHIYOUHUNHEA
9484,011511,GSABWXYNCYHHC,国寿安保稳鑫一年持有混合C,混合型,GUOSHOUANBAOWENXINYINIANCHIYOUHUNHEC
9485,011512,THZZXNYCA,天弘中证新能源车A,股票指数,TIANHONGZHONGZHENGXINNENGYUANCHEA
9486,011513,THZZXNYCC,天弘中证新能源车C,股票指数,TIANHONGZHONGZHENGXINNENGYUANCHEC
9487,011514,ZHHYHHA,中海海誉混合A,混合型,ZHONGHAIHAIYUHUNHEA
9488,011515,ZHHYHHC,中海海誉混合C,混合型,ZHONGHAIHAIYUHUNHEC
9489,011516,JSPYYNCYQHHA,嘉实浦盈一年持有期混合A,混合型,JIASHIPUYINGYINIANCHIYOUQIHUNHEA
9490,011517,JSPYYNCYQHHC,嘉实浦盈一年持有期混合C,混合型,JIASHIPUYINGYINIANCHIYOUQIHUNHEC
9491,011521,PYJYYNCYHHA,鹏扬景源一年持有混合A,混合型,PENGYANGJINGYUANYINIANCHIYOUHUNHEA
9492,011522,PYJYYNCYHHC,鹏扬景源一年持有混合C,混合型,PENGYANGJINGYUANYINIANCHIYOUHUNHEC
9493,011525,ZXBCFYYNCYQHHA,中信保诚丰裕一年持有期混合A,混合型,ZHONGXINBAOCHENGFENGYUYINIANCHIYOUQIHUNHEA
9494,011526,ZXBCFYYNCYQHHC,中信保诚丰裕一年持有期混合C,混合型,ZHONGXINBAOCHENGFENGYUYINIANCHIYOUQIHUNHEC
9495,011527,BSHY6GYCYHHA,博时恒悦6个月持有混合A,混合型,BOSHIHENGYUE6GEYUECHIYOUHUNHEA
9496,011528,BSHY6GYCYHHC,博时恒悦6个月持有混合C,混合型,BOSHIHENGYUE6GEYUECHIYOUHUNHEC
9497,011529,SYHXYZQ,上银慧兴盈债券,债券型,SHANGYINHUIXINGYINGZHAIQUAN
9498,011530,HDYZZLLHPZHH,泓德优质治理灵活配置混合,混合型,HONGDEYOUZHIZHILILINGHUOPEIZHIHUNHE
9499,011531,ZQHXYNCYHH,朱雀恒心一年持有混合,混合型,ZHUQUEHENGXINYINIANCHIYOUHUNHE
9500,011538,CCYXTRLGYCYHHA,长城优选添瑞六个月持有混合A,其他创新,CHANGCHENGYOUXUANTIANRUILIUGEYUECHIYOUHUNHEA
9501,011539,CCYXTRLGYCYHHC,长城优选添瑞六个月持有混合C,其他创新,CHANGCHENGYOUXUANTIANRUILIUGEYUECHIYOUHUNHEC
9502,011542,PHYJHBSNCYHH,鹏华远见回报三年持有混合,混合型,PENGHUAYUANJIANHUIBAOSANNIANCHIYOUHUNHE
9503,011548,JTJHHHA,九泰久慧混合A,混合型,JIUTAIJIUHUIHUNHEA
9504,011549,JTJHHHC,九泰久慧混合C,混合型,JIUTAIJIUHUIHUNHEC
9505,011550,XCCXCZYNCYQHHA,湘财创新成长一年持有期混合A,混合型,XIANGCAICHUANGXINCHENGZHANGYINIANCHIYOUQIHUNHEA
9506,011551,XCCXCZYNCYQHHC,湘财创新成长一年持有期混合C,混合型,XIANGCAICHUANGXINCHENGZHANGYINIANCHIYOUQIHUNHEC
9507,011552,PHMFYH6GYCYHHA,鹏华民丰盈和6个月持有混合A,混合型,PENGHUAMINFENGYINGHE6GEYUECHIYOUHUNHEA
9508,011553,PHMFYH6GYCYHHC,鹏华民丰盈和6个月持有混合C,混合型,PENGHUAMINFENGYINGHE6GEYUECHIYOUHUNHEC
9509,011556,FGMYJQHGSCZC,富国民裕进取沪港深成长C,混合型,FUGUOMINYUJINQUHUGANGSHENCHENGZHANGC
9510,011557,PAWJYLYNCYQHHFOF,平安稳健养老一年持有期混合(FOF),混合-FOF,PINGANWENJIANYANGLAOYINIANCHIYOUQIHUNHEFOF
9511,011562,HTFWJYHYNCYHH,汇添富稳健盈和一年持有混合,其他创新,HUITIANFUWENJIANYINGHEYINIANCHIYOUHUNHE
9512,011565,FGZQYSHHC,富国周期优势混合C,混合型,FUGUOZHOUQIYOUSHIHUNHEC
9513,011566,FGMLZGHHC,富国美丽中国混合C,混合型,FUGUOMEILIZHONGGUOHUNHEC
9514,011567,FGXFSJHHC,富国消费升级混合C,混合型,FUGUOXIAOFEISHENGJIHUNHEC
9515,011580,MSJYWJPZ6GYHHFOF,民生加银稳健配置6个月混合(FOF),混合-FOF,MINSHENGJIAYINWENJIANPEIZHI6GEYUEHUNHEFOF
9516,011585,BSCYHXHHA,博时产业慧选混合A,混合型,BOSHICHANYEHUIXUANHUNHEA
9517,011586,BSCYHXHHC,博时产业慧选混合C,混合型,BOSHICHANYEHUIXUANHUNHEC
9518,011587,DFHXHPHLNHHFOF,东方红欣和平衡两年混合(FOF),混合-FOF,DONGFANGHONGXINHEPINGHENGLIANGNIANHUNHEFOF
9519,011588,QHKYCFJXHH,前海开源成份精选混合,混合型,QIANHAIKAIYUANCHENGFENJINGXUANHUNHE
9520,011592,BSJGZTGPC,博时军工主题股票C,股票型,BOSHIJUNGONGZHUTIGUPIAOC
9521,011593,NYHLARYNCYHHFOF,农银汇理安瑞一年持有混合(FOF),混合-FOF,NONGYINHUILIANRUIYINIANCHIYOUHUNHEFOF
9522,011597,HTFDCLCZE,汇添富多策略纯债E,债券型,HUITIANFUDUOCELUECHUNZHAIE
9523,011598,XDAYYYJKHH,信达澳银医药健康混合,混合型,XINDAAOYINYIYAOJIANKANGHUNHE
9524,011599,GLAJXKJ1GYCYHH,国联安匠心科技1个月持有混合,混合型,GUOLIANANJIANGXINKEJI1GEYUECHIYOUHUNHE
9525,011601,QHKYGGWSGPA,前海开源公共卫生股票A,股票型,QIANHAIKAIYUANGONGGONGWEISHENGGUPIAOA
9526,011602,QHKYGGWSGPC,前海开源公共卫生股票C,股票型,QIANHAIKAIYUANGONGGONGWEISHENGGUPIAOC
9527,011603,XYGDZZHHA,兴业高端制造混合A,混合型,XINGYEGAODUANZHIZAOHUNHEA
9528,011604,XYGDZZHHC,兴业高端制造混合C,混合型,XINGYEGAODUANZHIZAOHUNHEC
9529,011605,JYZXYNCYHHFOFA,交银招享一年持有混合(FOF)A,混合-FOF,JIAOYINZHAOXIANGYINIANCHIYOUHUNHEFOFA
9530,011606,JYZXYNCYHHFOFC,交银招享一年持有混合(FOF)C,混合-FOF,JIAOYINZHAOXIANGYINIANCHIYOUHUNHEFOFC
9531,011607,MSZZNDZYZTZSC,民生中证内地资源主题指数C,股票指数,MINSHENGZHONGZHENGNEIDIZIYUANZHUTIZHISHUC
9532,011608,YFDKCB50ETFLJA,易方达科创板50ETF联接A,联接基金,YIFANGDAKECHUANGBAN50ETFLIANJIEA
9533,011609,YFDKCB50ETFLJC,易方达科创板50ETF联接C,联接基金,YIFANGDAKECHUANGBAN50ETFLIANJIEC
9534,011610,HTBRKCB50ETFLJA,华泰柏瑞科创板50ETF联接A,联接基金,HUATAIBAIRUIKECHUANGBAN50ETFLIANJIEA
9535,011611,HTBRKCB50ETFLJC,华泰柏瑞科创板50ETF联接C,联接基金,HUATAIBAIRUIKECHUANGBAN50ETFLIANJIEC
9536,011612,HXKCB50ETFLJA,华夏科创板50ETF联接A,联接基金,HUAXIAKECHUANGBAN50ETFLIANJIEA
9537,011613,HXKCB50ETFLJC,华夏科创板50ETF联接C,联接基金,HUAXIAKECHUANGBAN50ETFLIANJIEC
9538,011614,GYKCB50ETFLJA,工银科创板50ETF联接A,联接基金,GONGYINKECHUANGBAN50ETFLIANJIEA
9539,011615,GYKCB50ETFLJC,工银科创板50ETF联接C,联接基金,GONGYINKECHUANGBAN50ETFLIANJIEC
9540,011617,HTFAAAJXYCZE,汇添富AAA级信用纯债E,债券型,HUITIANFUAAAJIXINYONGCHUNZHAIE
9541,011622,HTFDZZQE,汇添富短债债券E,债券型,HUITIANFUDUANZHAIZHAIQUANE
9542,011623,HTFZDZE,汇添富中短债E,债券型,HUITIANFUZHONGDUANZHAIE
9543,011626,JSJXHBHHA,嘉实匠心回报混合A,混合型,JIASHIJIANGXINHUIBAOHUNHEA
9544,011627,JSJXHBHHC,嘉实匠心回报混合C,混合型,JIASHIJIANGXINHUIBAOHUNHEC
9545,011630,DCYSZQA,东财有色增强A,股票指数,DONGCAIYOUSEZENGQIANGA
9546,011631,DCYSZQC,东财有色增强C,股票指数,DONGCAIYOUSEZENGQIANGC
9547,011647,BSGGTHLJXHHA,博时港股通红利精选混合A,混合型,BOSHIGANGGUTONGHONGLIJINGXUANHUNHEA
9548,011648,BSGGTHLJXHHC,博时港股通红利精选混合C,混合型,BOSHIGANGGUTONGHONGLIJINGXUANHUNHEC
9549,011649,YFDNXTZHHA,易方达逆向投资混合A,混合型,YIFANGDANIXIANGTOUZIHUNHEA
9550,011650,YFDNXTZHHC,易方达逆向投资混合C,混合型,YIFANGDANIXIANGTOUZIHUNHEC
9551,011651,ZSGGTHXJXGPA,招商港股通核心精选股票A,股票型,ZHAOSHANGGANGGUTONGHEXINJINGXUANGUPIAOA
9552,011652,ZSGGTHXJXGPC,招商港股通核心精选股票C,股票型,ZHAOSHANGGANGGUTONGHEXINJINGXUANGUPIAOC
9553,011683,HXDHYNDKZ,华夏鼎华一年定开债,定开债券,HUAXIADINGHUAYINIANDINGKAIZHAI
9554,011684,PAYL2045WNCYHHFOF,平安养老2045五年持有混合(FOF),混合-FOF,PINGANYANGLAO2045WUNIANCHIYOUHUNHEFOF
9555,011685,CJHXXJZBGPA,创金合信先进装备股票A,股票型,CHUANGJINHEXINXIANJINZHUANGBEIGUPIAOA
